id_employee,genre,statut_marital,departement,poste,a_quitte_l_entreprise,domaine_etude,frequence_deplacement,heure_supplementaires,evolution_cat_evol,categorie_employe,nombre_experiences_precedentes,annees_dans_l_entreprise,annees_depuis_la_derniere_promotion,nombre_participation_pee,niveau_education,revenu_mensuel,ecart_note_evaluation,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,nb_formations_suivies,age,distance_domicile_travail,exp_hors_entreprise,ratio_sans_promotion,satisfaction_employee_environnement,satisfaction_globale,revenu_par_annee_experience_totale,revenu_par_annee_experience_interne,mobilite_promotion
1017,F,Célibataire,Consulting,Consultant,True,Transformation Digitale,Frequent,False,stable,employe_experimente,0,3,1,0,3,2422,0,2,1,3,3,3,30,5,1,0,2,2.0,7266,9688,1
1018,M,Marié(e),Consulting,Tech Lead,False,Transformation Digitale,Occasionnel,False,baisse,employe_experimente,1,8,1,0,2,5472,-1,4,2,3,3,2,26,2,0,0,4,3.25,8208,8208,6
1019,M,Marié(e),Consulting,Consultant,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,1,4,1,1,1,2451,2,1,1,2,3,3,22,8,0,0,2,1.5,7353,7353,2
102,M,Célibataire,Consulting,Directeur Technique,False,Transformation Digitale,Occasionnel,False,stable,employe_experimente,4,5,0,0,4,13664,0,3,1,4,3,3,37,7,11,0,1,2.25,10248,32793,2
1022,M,Célibataire,Consulting,Manager,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,2,2,2,0,3,4240,1,3,4,3,3,0,48,6,17,1,1,2.75,2677,25440,0
1024,M,Célibataire,Consulting,Manager,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,7,15,4,0,4,10999,1,3,2,3,3,3,48,4,12,0,3,2.75,4888,8799,7
1025,F,Célibataire,Consulting,Tech Lead,False,Transformation Digitale,Occasionnel,False,stable,employe_experimente,6,2,2,0,2,5003,0,3,2,3,3,6,41,7,6,1,4,3.0,7504,30018,0
1026,F,Marié(e),Consulting,Tech Lead,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,1,21,11,1,1,12742,1,4,3,3,3,3,39,1,0,0,4,3.5,7281,7281,-5
1027,F,Marié(e),Consulting,Tech Lead,False,Infra & Cloud,Occasionnel,False,stable,employe_experimente,0,3,2,1,4,4227,0,4,2,3,3,2,27,2,1,0,1,2.5,12681,16908,0
1028,M,Divorcé(e),Consulting,Consultant,False,Autre,Occasionnel,False,hausse,employe_experimente,1,3,1,1,3,3917,1,4,1,2,4,4,35,10,0,0,2,2.25,15668,15668,1
1029,M,Marié(e),Commercial,Senior Manager,False,Marketing,Occasionnel,False,stable,employe_nouveau_poste_interne,6,1,0,0,2,18303,0,3,2,4,3,3,42,5,20,0,4,3.25,10458,219636,-1
103,M,Divorcé(e),Ressources Humaines,Ressources Humaines,False,Transformation Digitale,Occasionnel,True,hausse,employe_experimente,8,4,0,1,2,5021,1,2,4,3,4,2,46,5,12,0,2,2.75,3765,15063,2
1030,M,Marié(e),Consulting,Consultant,False,Infra & Cloud,Occasionnel,False,stable,employe_nouveau_poste_interne,4,1,0,0,3,2380,0,4,2,3,3,5,50,9,7,0,1,2.5,3570,28560,-1
1032,F,Célibataire,Consulting,Tech Lead,False,Infra & Cloud,Occasionnel,True,hausse,employe_experimente,3,5,4,0,3,13726,1,4,1,3,3,4,59,2,25,0,3,2.75,5490,32942,-1
1033,F,Marié(e),Consulting,Manager,True,Transformation Digitale,Occasionnel,False,hausse,employe_nouveau_poste_interne,5,1,0,0,2,4777,2,2,1,1,3,2,37,11,14,0,1,1.25,3821,57324,-1
1034,M,Marié(e),Consulting,Manager,False,Transformation Digitale,Frequent,True,stable,employe_experimente,3,8,6,2,4,6385,0,2,4,3,3,3,55,18,9,0,3,3.0,4507,9577,1
1035,F,Divorcé(e),Consulting,Directeur Technique,False,Infra & Cloud,Aucun,False,hausse,employe_experimente,1,21,5,2,1,19973,3,3,2,3,4,3,41,7,0,0,2,2.5,11413,11413,11
1036,M,Célibataire,Commercial,Cadre Commercial,False,Infra & Cloud,Occasionnel,True,stable,employe_nouveau_poste_interne,8,1,0,0,4,6861,0,4,3,3,3,1,38,3,18,0,2,3.0,4333,82332,-1
1037,M,Célibataire,Commercial,Cadre Commercial,True,Transformation Digitale,Aucun,False,hausse,employe_experimente,8,2,2,0,2,4969,2,1,4,3,3,6,26,29,5,1,2,2.5,8518,29814,0
1038,F,Marié(e),Commercial,Senior Manager,True,Marketing,Occasionnel,False,hausse,employe_experimente,1,32,6,1,1,19845,2,4,4,3,3,3,52,2,1,0,1,3.0,7216,7441,8
1039,F,Marié(e),Commercial,Cadre Commercial,False,Transformation Digitale,Occasionnel,True,baisse,employe_experimente,3,12,11,1,3,13320,-1,4,3,3,3,2,44,28,11,0,4,3.5,6949,13320,0
104,M,Marié(e),Consulting,Consultant,False,Infra & Cloud,Occasionnel,True,hausse,employe_experimente,1,10,3,2,1,5126,1,4,3,2,3,1,30,1,0,0,4,3.25,6151,6151,5
1040,F,Marié(e),Commercial,Cadre Commercial,False,Infra & Cloud,Aucun,False,stable,employe_experimente,0,18,0,1,3,6347,0,3,1,3,3,3,50,1,1,0,4,2.75,4008,4231,7
1042,F,Célibataire,Consulting,Consultant,True,Infra & Cloud,Occasionnel,False,baisse,employe_experimente,1,17,15,0,4,2743,-1,1,3,3,3,1,36,16,1,0,3,2.5,1828,1936,-2
1043,F,Célibataire,Consulting,Tech Lead,False,Transformation Digitale,Frequent,True,stable,employe_experimente,1,21,2,0,3,10880,0,1,3,3,3,2,39,22,0,0,4,2.75,6217,6217,4
1044,F,Célibataire,Commercial,Représentant Commercial,False,Infra & Cloud,Aucun,False,hausse,employe_experimente,0,2,2,0,1,2342,1,4,4,2,3,2,33,8,1,1,2,3.0,9368,14052,0
1045,F,Marié(e),Commercial,Senior Manager,False,Infra & Cloud,Occasionnel,False,stable,employe_experimente,3,9,1,1,2,17650,0,4,2,4,3,4,45,11,17,0,4,3.5,8146,23533,2
1046,F,Célibataire,Consulting,Consultant,False,Transformation Digitale,Aucun,False,stable,employe_experimente,9,8,7,0,4,4025,0,3,2,3,3,2,32,29,2,0,4,3.0,4830,6037,0
1047,M,Divorcé(e),Commercial,Cadre Commercial,False,Marketing,Occasionnel,False,baisse,employe_experimente,0,15,0,1,4,9725,-1,4,4,2,3,2,34,1,1,0,2,3.0,7293,7780,1
1048,M,Marié(e),Commercial,Senior Manager,False,Entrepreunariat,Occasionnel,True,stable,employe_experimente,3,6,0,1,2,11904,0,4,3,1,3,1,59,1,8,0,2,2.5,10203,23808,4
1049,M,Célibataire,Ressources Humaines,Ressources Humaines,False,Transformation Digitale,Occasionnel,False,stable,employe_experimente,1,6,0,0,4,2177,0,2,1,3,3,3,45,24,0,0,2,2.0,4354,4354,3
105,M,Célibataire,Consulting,Assistant de Direction,False,Transformation Digitale,Occasionnel,False,hausse,employe_experimente,1,6,0,0,3,2859,1,3,1,3,3,3,35,1,0,0,2,2.25,5718,5718,4
1050,F,Marié(e),Commercial,Cadre Commercial,False,Marketing,Frequent,False,hausse,employe_experimente,2,15,6,1,3,7525,1,2,1,3,3,2,53,2,15,0,3,2.25,3010,6020,1
1052,M,Divorcé(e),Consulting,Consultant,True,Autre,Occasionnel,False,stable,employe_nouveau_poste_interne,7,1,0,1,3,4834,0,3,2,2,3,3,36,15,8,0,1,2.0,6445,58008,-1
1053,M,Marié(e),Consulting,Assistant de Direction,True,Infra & Cloud,Frequent,True,stable,employe_experimente,6,3,1,1,3,2042,0,1,2,3,3,2,26,2,3,0,1,1.75,4084,8168,1
1055,F,Marié(e),Commercial,Représentant Commercial,False,Infra & Cloud,Occasionnel,True,stable,employe_experimente,1,1,0,1,4,2220,0,3,4,3,3,2,34,10,0,0,3,3.25,26640,26640,1
1056,M,Marié(e),Commercial,Représentant Commercial,False,Transformation Digitale,Occasionnel,False,hausse,employe_nouveau_poste_interne,1,1,0,0,1,1052,1,2,2,3,4,5,28,10,0,0,4,2.75,12624,12624,-1
106,M,Marié(e),Commercial,Cadre Commercial,False,Infra & Cloud,Occasionnel,False,stable,employe_nouveau_poste_interne,3,1,1,1,2,10239,0,4,4,3,3,4,55,1,23,1,1,3.0,5119,122868,-1
1060,M,Marié(e),Consulting,Assistant de Direction,False,Autre,Frequent,False,stable,employe_experimente,3,2,2,1,4,2821,0,3,1,3,3,2,38,3,6,1,3,2.5,4231,16926,0
1061,M,Marié(e),Consulting,Directeur Technique,False,Transformation Digitale,Occasionnel,True,stable,employe_experimente,2,8,7,1,4,19237,0,3,4,2,3,2,50,2,21,0,2,2.75,7960,28855,-6
1062,F,Célibataire,Consulting,Manager,False,Autre,Occasionnel,False,stable,employe_experimente,3,4,0,0,3,4107,0,2,1,2,3,3,37,3,4,0,4,2.25,6160,12321,3
1066,M,Marié(e),Commercial,Cadre Commercial,False,Marketing,Occasionnel,False,stable,employe_experimente,1,7,7,1,3,8396,0,1,2,2,3,3,40,26,1,1,3,2.0,12594,14393,0
1068,F,Divorcé(e),Consulting,Assistant de Direction,False,Transformation Digitale,Frequent,False,hausse,employe_experimente,1,5,1,2,1,2007,1,3,3,3,3,5,26,1,0,0,1,2.5,4816,4816,2
1069,M,Divorcé(e),Consulting,Directeur Technique,False,Transformation Digitale,Occasionnel,False,stable,employe_experimente,9,2,2,2,4,19627,0,4,4,3,3,0,46,1,21,1,4,3.75,10240,117762,0
107,F,Divorcé(e),Consulting,Assistant de Direction,False,Transformation Digitale,Aucun,True,hausse,employe_experimente,7,13,1,3,3,5329,2,4,4,3,3,3,38,6,4,0,2,3.25,3761,4919,10
1070,F,Marié(e),Commercial,Cadre Commercial,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,6,9,7,1,4,10686,1,3,2,3,3,4,54,2,4,0,3,2.75,9864,14248,-3
1071,F,Marié(e),Consulting,Assistant de Direction,False,Transformation Digitale,Frequent,False,stable,employe_experimente,2,5,0,1,3,2942,0,3,2,3,3,4,56,9,13,0,1,2.25,1961,7060,4
1073,F,Célibataire,Consulting,Tech Lead,False,Transformation Digitale,Occasionnel,False,hausse,employe_experimente,0,14,7,0,5,8858,1,4,2,2,3,2,36,12,1,0,4,3.0,7086,7592,1
1074,M,Célibataire,Consulting,Senior Manager,False,Transformation Digitale,Aucun,False,hausse,employe_experimente,7,9,6,0,1,16756,1,1,2,4,3,3,55,2,22,0,3,2.5,6486,22341,1
1076,M,Divorcé(e),Commercial,Cadre Commercial,False,Transformation Digitale,Occasionnel,False,hausse,employe_nouveau_poste_interne,5,1,0,1,3,10798,1,4,3,3,3,5,43,25,17,0,3,3.25,7198,129576,-1
1077,F,Célibataire,Commercial,Représentant Commercial,True,Marketing,Frequent,True,stable,employe_experimente,1,2,0,0,3,2323,0,4,2,3,3,3,20,9,0,0,4,3.25,13938,13938,2
1079,F,Célibataire,Consulting,Consultant,True,Infra & Cloud,Occasionnel,False,hausse,employe_nouveau_poste_interne,1,1,1,0,3,1416,1,1,1,2,3,6,21,10,0,1,3,1.75,16992,16992,-1
1080,F,Divorcé(e),Consulting,Assistant de Direction,False,Infra & Cloud,Occasionnel,True,hausse,employe_experimente,8,16,1,3,4,4615,2,1,1,3,4,2,46,8,3,0,4,2.25,2914,3461,12
1081,M,Marié(e),Consulting,Assistant de Direction,True,Infra & Cloud,Occasionnel,True,stable,employe_nouveau_poste_interne,9,10,2,3,4,2461,0,3,3,4,3,2,51,4,8,0,1,2.75,1640,2953,-1
1082,M,Célibataire,Consulting,Manager,True,Entrepreunariat,Aucun,False,hausse,employe_experimente,1,10,1,0,2,8722,1,1,1,2,3,2,28,24,0,0,2,1.5,10466,10466,6
1083,M,Marié(e),Consulting,Consultant,False,Transformation Digitale,Occasionnel,False,hausse,employe_experimente,1,5,1,2,2,3955,1,1,1,3,3,2,26,1,1,0,1,1.5,7910,9492,2
1084,M,Marié(e),Consulting,Tech Lead,False,Autre,Occasionnel,False,stable,employe_experimente,0,6,0,1,3,9957,0,1,3,2,3,1,30,20,1,0,3,2.25,17069,19914,2
1085,F,Marié(e),Consulting,Assistant de Direction,False,Entrepreunariat,Occasionnel,False,baisse,employe_experimente,1,10,0,0,2,3376,-1,3,3,3,3,3,41,7,0,0,2,2.75,4051,4051,6
1088,F,Marié(e),Consulting,Manager,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,0,19,1,1,1,8823,1,3,1,2,3,4,38,17,1,0,3,2.25,5293,5572,8
1092,M,Marié(e),Consulting,Manager,False,Entrepreunariat,Occasionnel,False,hausse,employe_experimente,4,11,11,1,4,10322,1,4,4,3,4,6,40,20,3,1,1,3.0,8847,11260,-1
1094,M,Marié(e),Consulting,Consultant,False,Infra & Cloud,Aucun,False,hausse,employe_experimente,1,3,1,3,5,4621,2,3,4,3,3,4,27,8,0,0,1,2.75,18484,18484,1
1096,M,Marié(e),Consulting,Tech Lead,False,Infra & Cloud,Frequent,False,stable,employe_experimente,3,3,1,1,1,10976,0,2,2,3,3,4,55,2,20,0,4,2.75,5726,43904,1
1097,F,Célibataire,Consulting,Assistant de Direction,False,Autre,Occasionnel,False,stable,employe_experimente,3,8,1,0,3,3660,0,3,4,4,3,4,28,10,2,0,3,3.5,4392,5490,6
1098,M,Marié(e),Ressources Humaines,Ressources Humaines,True,Transformation Digitale,Occasionnel,False,hausse,employe_experimente,9,20,3,1,2,10482,1,1,4,3,3,1,44,1,4,0,2,2.5,5241,6289,3
1099,M,Divorcé(e),Consulting,Manager,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,4,3,1,1,3,7119,1,4,3,3,3,2,33,5,6,0,4,3.5,9492,28476,1
11,M,Divorcé(e),Consulting,Consultant,False,Infra & Cloud,Occasionnel,False,hausse,employe_nouveau_poste_interne,1,1,0,1,1,2693,1,3,2,3,4,2,30,24,0,0,4,3.0,32316,32316,-1
110,M,Marié(e),Consulting,Tech Lead,False,Transformation Digitale,Occasionnel,False,stable,employe_experimente,1,5,1,0,2,4325,0,2,3,3,3,2,34,1,0,0,1,2.25,10380,10380,1
1100,M,Célibataire,Commercial,Cadre Commercial,True,Entrepreunariat,Occasionnel,True,hausse,employe_experimente,0,8,4,0,3,9582,1,1,1,3,4,2,35,4,1,0,4,2.25,12776,14373,3
1101,F,Célibataire,Consulting,Assistant de Direction,True,Transformation Digitale,Frequent,False,hausse,employe_experimente,1,13,3,0,4,4508,2,3,2,3,4,4,33,29,1,0,1,2.25,3864,4161,4
1102,M,Divorcé(e),Consulting,Consultant,False,Infra & Cloud,Occasionnel,False,stable,employe_experimente,1,4,2,1,2,2207,0,3,4,2,3,5,28,15,0,0,1,2.5,6621,6621,0
1103,M,Célibataire,Consulting,Manager,False,Infra & Cloud,Frequent,False,stable,employe_experimente,0,6,0,0,1,7756,0,4,3,2,3,1,34,3,1,0,1,2.5,13296,15512,2
1105,F,Divorcé(e),Commercial,Cadre Commercial,False,Infra & Cloud,Occasionnel,True,hausse,employe_nouveau_poste_interne,2,1,0,3,4,6694,1,4,3,3,3,5,37,10,7,0,4,3.5,10041,80328,-1
1106,M,Marié(e),Consulting,Consultant,True,Entrepreunariat,Occasionnel,True,stable,employe_experimente,1,7,5,1,1,3691,0,4,2,4,3,3,25,4,0,0,4,3.5,6327,6327,2
1107,M,Divorcé(e),Consulting,Consultant,True,Transformation Digitale,Occasionnel,False,hausse,employe_experimente,1,1,0,1,3,2377,1,3,3,2,4,0,26,21,0,0,1,2.25,28524,28524,1
1108,M,Célibataire,Consulting,Assistant de Direction,True,Transformation Digitale,Occasionnel,True,hausse,employe_experimente,4,2,2,0,3,2313,2,2,2,3,4,0,33,25,3,1,1,2.0,5551,13878,0
1109,M,Marié(e),Consulting,Senior Manager,False,Transformation Digitale,Occasionnel,False,stable,employe_experimente,0,22,13,1,2,17665,0,1,4,3,3,3,42,2,1,0,4,3.0,9216,9635,-7
1111,M,Divorcé(e),Consulting,Consultant,True,Transformation Digitale,Frequent,False,hausse,employe_nouveau_poste_interne,1,1,0,2,3,2596,1,2,1,3,3,2,28,1,0,0,1,1.75,31152,31152,-1
1113,M,Célibataire,Commercial,Cadre Commercial,True,Autre,Frequent,True,stable,employe_experimente_nouvel_entrant,3,0,0,0,4,4728,0,3,4,3,3,4,50,1,5,-1,4,3.5,11347,-1,-1
1114,F,Marié(e),Commercial,Cadre Commercial,False,Infra & Cloud,Frequent,False,stable,employe_experimente,0,3,0,1,3,4302,0,2,3,3,3,3,33,7,1,0,4,3.0,12906,17208,2
1115,M,Marié(e),Consulting,Assistant de Direction,False,Infra & Cloud,Aucun,False,hausse,employe_experimente_nouvel_entrant,3,0,0,3,4,2979,1,4,4,3,3,2,34,3,6,-1,3,3.5,5958,-1,-1
1116,M,Célibataire,Consulting,Senior Manager,False,Transformation Digitale,Aucun,False,stable,employe_experimente,2,5,2,0,4,16885,0,4,3,2,4,3,48,1,22,0,1,2.5,7504,40524,2
1117,F,Marié(e),Commercial,Cadre Commercial,False,Infra & Cloud,Aucun,False,hausse,employe_experimente,1,15,4,1,4,5593,1,3,4,3,3,2,45,9,0,0,2,3.0,4474,4474,6
1118,M,Célibataire,Consulting,Manager,False,Infra & Cloud,Occasionnel,False,stable,employe_experimente,7,8,4,0,4,10445,0,2,4,3,3,4,52,7,10,0,2,2.75,6963,15667,2
1119,M,Divorcé(e),Commercial,Cadre Commercial,False,Marketing,Occasionnel,True,hausse,employe_experimente,0,8,2,2,4,8740,1,3,2,3,3,2,38,10,1,0,3,2.75,11653,13110,5
112,M,Célibataire,Consulting,Tech Lead,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,4,6,0,0,3,7260,2,4,1,2,3,3,56,7,31,0,4,2.75,2354,14520,4
1120,F,Divorcé(e),Consulting,Assistant de Direction,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,4,7,1,1,4,2514,1,4,1,3,4,1,29,28,4,0,3,2.75,2742,4309,4
1121,F,Divorcé(e),Consulting,Tech Lead,False,Transformation Digitale,Occasionnel,False,stable,employe_experimente,0,9,1,3,3,7655,0,2,2,2,3,3,28,3,1,0,4,2.5,9186,10206,6
1124,M,Marié(e),Commercial,Senior Manager,False,Marketing,Occasionnel,False,stable,employe_experimente,3,12,4,1,1,17465,0,3,4,3,3,3,46,3,11,0,1,2.75,9112,17465,5
1125,M,Célibataire,Commercial,Cadre Commercial,False,Marketing,Occasionnel,False,stable,employe_nouveau_poste_interne,7,1,0,0,2,7351,0,2,3,3,3,2,38,2,9,0,4,3.0,8821,88212,-1
1126,F,Marié(e),Consulting,Tech Lead,False,Infra & Cloud,Frequent,False,stable,employe_experimente,8,8,0,1,3,10820,0,1,3,3,3,1,43,27,10,0,3,2.5,7213,16230,7
1127,M,Divorcé(e),Consulting,Manager,True,Infra & Cloud,Frequent,False,stable,employe_experimente,7,18,11,3,3,12169,0,4,4,3,3,4,39,2,3,0,1,3.0,6953,8112,-4
1128,M,Célibataire,Consulting,Directeur Technique,False,Transformation Digitale,Occasionnel,False,hausse,employe_experimente,1,20,4,0,3,19626,1,3,1,4,3,2,40,14,1,0,3,2.75,11214,11775,3
113,M,Divorcé(e),Commercial,Représentant Commercial,False,Entrepreunariat,Occasionnel,False,stable,employe_experimente_nouvel_entrant,3,0,0,1,1,2322,0,1,3,3,3,3,23,2,3,-1,3,2.5,9288,-1,-1
1131,F,Célibataire,Consulting,Assistant de Direction,False,Entrepreunariat,Occasionnel,True,hausse,employe_experimente,1,2,2,0,1,2070,1,2,3,4,3,6,21,1,0,1,4,3.25,12420,12420,0
1132,M,Célibataire,Consulting,Consultant,False,Infra & Cloud,Aucun,False,stable,employe_experimente,9,5,0,0,3,6782,0,2,3,2,3,2,39,9,4,0,3,2.5,9042,16276,4
1133,M,Célibataire,Consulting,Tech Lead,False,Infra & Cloud,Aucun,False,hausse,employe_experimente,2,11,0,0,4,7779,1,4,1,3,4,0,36,18,7,0,1,2.25,5186,8486,9
1135,M,Marié(e),Commercial,Représentant Commercial,False,Infra & Cloud,Frequent,False,baisse,employe_experimente,0,2,2,1,3,2791,-1,4,1,3,3,4,31,20,1,1,3,2.75,11164,16746,0
1136,M,Marié(e),Consulting,Assistant de Direction,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,0,5,0,0,1,3201,1,2,1,1,3,2,28,2,1,0,1,1.25,6402,7682,3
1137,M,Divorcé(e),Commercial,Cadre Commercial,False,Marketing,Frequent,False,stable,employe_experimente,1,5,0,1,2,4968,0,4,4,3,3,3,35,11,0,0,4,3.75,11923,11923,2
1138,M,Marié(e),Commercial,Cadre Commercial,False,Entrepreunariat,Occasionnel,False,hausse,employe_experimente,6,9,2,1,4,13120,1,2,2,3,3,3,49,8,13,0,4,2.75,7156,17493,6
1140,M,Célibataire,Consulting,Tech Lead,False,Infra & Cloud,Frequent,False,stable,employe_experimente,2,3,0,0,2,4033,0,3,4,2,3,3,34,2,2,0,4,3.25,9679,16132,2
1143,F,Divorcé(e),Consulting,Assistant de Direction,False,Infra & Cloud,Frequent,False,stable,employe_experimente,0,7,1,2,3,3291,0,2,4,2,3,2,29,10,1,0,4,3.0,4936,5641,4
1148,M,Célibataire,Consulting,Consultant,False,Transformation Digitale,Occasionnel,False,hausse,employe_nouveau_poste_interne,4,1,0,0,3,4272,2,4,1,3,3,3,42,29,15,0,2,2.5,3204,51264,-1
1150,M,Marié(e),Consulting,Tech Lead,False,Transformation Digitale,Occasionnel,True,hausse,employe_experimente,1,10,1,1,1,5056,1,4,3,2,3,2,29,8,0,0,2,2.75,6067,6067,6
1152,M,Marié(e),Ressources Humaines,Ressources Humaines,False,Ressources Humaines,Occasionnel,False,baisse,employe_experimente,1,7,5,1,3,2844,-1,3,4,4,3,2,38,1,0,0,3,3.5,4875,4875,1
1154,M,Divorcé(e),Consulting,Assistant de Direction,False,Infra & Cloud,Frequent,True,hausse,employe_experimente,1,3,0,1,3,2703,1,3,4,3,3,2,28,6,0,0,3,3.25,10812,10812,1
1156,M,Célibataire,Consulting,Consultant,True,Transformation Digitale,Aucun,False,stable,employe_sans_experience,1,0,0,0,1,1904,0,3,4,3,3,0,18,8,0,-1,3,3.25,-1,-1,-1
1157,F,Célibataire,Commercial,Cadre Commercial,True,Marketing,Occasionnel,True,stable,employe_experimente,0,5,0,0,4,8224,0,1,1,3,3,3,33,9,1,0,1,1.5,16448,19737,2
1158,M,Marié(e),Consulting,Consultant,False,Infra & Cloud,Occasionnel,True,stable,employe_nouveau_poste_interne,3,1,0,1,4,4766,0,4,1,3,3,4,41,12,5,0,2,2.5,9532,57192,-1
116,M,Marié(e),Consulting,Consultant,False,Infra & Cloud,Occasionnel,False,hausse,employe_experimente,3,4,0,2,4,2075,1,4,2,3,4,4,51,9,6,0,4,3.25,2490,6225,2
1160,M,Marié(e),Consulting,Consultant,True,Transformation Digitale,Frequent,False,stable,employe_experimente,1,2,2,1,3,2610,0,3,3,2,3,5,31,15,0,1,3,2.75,15660,15660,0
1161,F,Divorcé(e),Consulting,Manager,False,Transformation Digitale,Occasionnel,False,hausse,employe_experimente,7,6,1,2,2,5731,1,4,3,3,3,2,37,25,3,0,3,3.25,7641,11462,1
